textDisplay,label_manual
"Hutan Bojonegoro udah habis di tebang i,,dan di tanami tebu mantap,,,hutan jadi rebutan banyak orang",0
"Jangan khawatir deforestasi!!, kata pak presiden",1
"Assalamu&#39;alaikum, izin mengambil salah satu klip di video ini untuk mengerjakan tugas kuliah. Terimakasih 🙏",1
"Saya tetap yakin kita terlahir dari nenek moyang penjaga kelestarian alam. Biarpun sekarang gundul untuk keperluan penduduk, pasti akan ditanam kembali sesuai kebutuhan zaman. <br>Kita bangsa besar yg butuh makan dan terus menjadi kuat di tengah ancaman perampokan dr negara2 luar.<br>Semangat,, dan kuatlah Indonesiaku!!!!",2
"sekarang rasakan panasnya nggk seperti biasanya,tinggal musim hujan akan ada banjir bandang😢",1
Sbnr nya hutan milik siapa? Kok berani membabal? Pernah merek menanam? Kok berani menebang?,1
"demi menyenangkan sahabat jokowi, si haji Is*m, jutaan orang penghuni asli Kalimantan di korbankan,....",0
Mampus.....Suatu saat kalimantan bakalan gundul,0
"Kalau orang hidup di kabupaten KKU berdampingan dengan hutan lindung, rakyatnya banyak miskin karena ghk bisa menfaatkan tanah karena terkait hutan lindung, deportasi bagus ekonomi masyarakat membaik karena menanam sawit,",0
"Kalimantan rusak itu akibat ulah pejabat dan oligarki dr pulau jawa, terutama pejabat selama orde baru, hari ini kami disuruh jaga hutan, sementara nasib kami tidak diurus, mending tebang hutan buat bangun kebun sawit swadaya dan tambang mandiri. Kalian lah yg sibuk perlu hutan, kami perlu akan, perlu pendidikan anak-anak kami. Toh sudah cukup kami jadi penonton, hutan dibabat masyarakat adat ditinggal, tanah dikeruk masyarakat adatnya diusir. Kalian kavling2 tanah kami utk transmigrasi dr pulau jawa, masyarakat kami kalian abaikan. Terserah terhadap pemanasan global, eropa jg sok peduli lingkungan, padahal revolusi industri mereka membabat hutan sub tropis. Mereka jg yg menciptakan mesin dan alat menebang pohon, menggali tanah, mengolah kondensat, dan memurnikan hasil tambang. Kalian semua kaum munafik, sejahtera kan kami melalui usaha yg tidak berbasis sumber daya lahan, baru kalian bicara lingkungan hidup.",0
"Sedih banget, merasa malu jadi manusia. Cuma bisa merusak 😭",0
Serang dari segala arah.emang gue pikiran?.,1
SUHARTO SUDAH MATI...LAGI MENANGGUNG ATAS DOSA...DOSANYA🤣🤣🤣,1
Semoga yg merusak hutan kalimantan mendpat balasan yg setimpal,0
"Di luar negeri juga banyak yang gak setuju rain forest di ancuturin demi ikn makanya gak banyak infestor yang mau infest buat ikn , tapimasih di paksain sama pemerintah ingat kalimantan itu amazonnya indonesia",0
Tak masalah yg penting NKRI maju berkembang dan tuk anak cucu kita aman sentausa 👍👍👍👍🙏,2
Hdh manusia serakah GK ada otak mementingkan diri sendiri tapi tidak memikirkan dampak yang terjadi gimana tidak terjadi pemanasan global hutan pada ditebang,0
Akibat exploitasi lingkungan berlebih menimbulkan efek,0
"Hutan di tebang, SDA seperti minyak batu bara emas di keruk untuk kepentingan bangsa katanya tapi yang makin kaya orang luar alias korporasi dn oligarki, masyarakat adat lokal JD penonton, jadi kuli di kampung sendiri, malah terusir dr tanah kelahirannya mengalah demi yang berkuasa",0
Sudah tau seperti ini apakah di biarkan terus ...ayo Pemerintah sekarang Hijau kembali hutan..ayo tanam 271 T pohon...itu yg korupsi suruh nanam pohon saja sebanyak ituuuu,1
"bagaimana bisa Indonesia emas 2045 terwujud jika hutan Kalimantan saja sudah banyak yang rusak? apalagi dgn adanya IKN? apakah para pejabat sudah melakukan banyak upaya utk memperbanyak penanaman pohon? jika sudah, kenapa masih banyak kasus banjir disini? dan kenapa masih ada saja rakyat yang membuang sampah disungai?? apakah IKN ini akan menyelesaikan masalah yg kami, para warga Kalimantan, hadapi saat ini? menyelesaikan masalah deforestasi dgn membuat kota modern? dan bukannya melakukan reboisasi pada area2 lahan kosong (dan pemindahan lokasi pohon)? <br><br>ingatlah bahwa yang namanya penyesalan itu akan selalu datang di akhir. mungkin mereka belum merasakan dampaknya, tapi itu akan terjadi ketika apa yang selama ini rakyat alami terjadi kepada mereka.",1
Saya setuju keluarga Jokowi dilucuti dari kekuasaan pemerintahan,0
SESAMA SEMUA PERLU TAHU TERJADINYA BANJIR BESAR-BESARAN KARENA SIFAT BURUK MERUSAK ORANG MANUSIA MENUTUP PORI-PORI BUMI (DARATAN/TANAH) MEMANG SEMUA UTK ORANG TAPI HARUS TAHU PIKIRKAN KALAU TAHUNYA SAJA MERUSAK HANCUR ANJLOK TENGGELAM JADINYA SESAMA BEGITU,0
Weleh itu IKN apa jgk bahaya,1
"Membangun infratsruktur lahan di gundul,buat food estate hutan di babat,food estatr nya pun gagal.<br>Dmn kelebihan jokowi sbenarnya?<br>Hilirisasi Nikel yg dibanggakan penambangannya bnyk yg illegal.",1
"Turut berduka sebagai rakyat hanya bisa jadi penonton oleh pemerintahan yg korup dan belum terciptanya pemerataan pembangunan.😢 maka jng pilih no2 karena melanggenkan lekuasaan dinasti. Nepotisme, kolusi bagi kroni2nya.😊",0
"jagung nya kan ditanam di polybag 😅<br>singkong nya jg gagal ..<br>hutan seluas itu digunduli tp hasilnya mengecewakan ..<br>tampak kurang nya penelitian dan kajian mendalam .. <br>dampak lingkungannya itu kan gimana coba .. <br>belum lagi soal PT agrinas yg kepengurusannya sarat nepotisme ..<br>RAKYAT CERDAS KALI, GA BISA DIBOHONGI",0
"Pantesan Pulau Kalimantan daerah2nya Barusan barito dan daerah sensitif lainya daerah kalimantan sering banjir bandang sampai tiga meter empat meter tijggi banjirnya,, wong hutan lindung nya di babat di gunduli ekosystem lingkungan rusak berat, itu harus secepatnya di perbarui sebelum terlambat kalimantan tenggelam juga, tanahnya terkikis air, waduh",0
"gausah complaint kalau lu2 jga yg milih pejabat lu. udh dikasih tau masih ngeyel mayoritas orang2 didaerah2 indonesia tuh masih bisa dipolitik pola pikirnya dengan bujuk2 ini itulah, diiming2in bakal maju lah tapi gk kritis males baca apa yg mau dibangun didaerahnya dan siapa yg diuntungkan, milih pejabat aja mereka gk tau alasannya apa cma karna sekedar viral, gimik2 tapi gk pernah riset orang2 yg mereka pilih itu gagasannya apa, visinya, apa yg akan dia bangun untuk daerah2 kalian, mudah digiring opini sana sini yg blm tentu benar dan perihal lainnnya. tapi lucunya bahkan sekarang pun masih ada berita2 pratik pejabat2 menggunakan cara2 yg kurang beretika a.k.a ugal2an tapi hal itu dianggap wajar oleh masyakarat haha entah mereka sadar atau engga sedang dipolitisasi. pemegang kekuasaan yg besar dipolitik punya kesempatan besar juga untuk bermain. hanya bisa berdoa yg terbaik buat orang2 di tanah air ini yang berjuang sungguh2 buat negera ini yg mungkin digempur habis2an oleh mafia2 politik.<br><br>MUNGKIN CEPAT ATAU LAMBAT AKAN ADA WARGA YANG TERIAK &quot;BEBASKAN TANAH KAMI!!!!&quot; padahal sebelumnya mereka dan pimpinannya setuju tanahnya digunakan oleh pengusaha2 dan mengumpat orang2 yg dlu padahal simpati padanya 🤣",0
Hutan di tebang panglima jilah senang.,0
"Perkebunan sawit,terluas di dunia,harga minyak goreng Mahal 😎😎mana... manfaat nya buat rakyat..kecil 😎?",1
"Bisakah ini dibahas saat debat capres nanti, bisa isu ini dijual 🙏, ayoo siapa capres yg berani memperbaiki alam !? .😢",1
Rezim rusak alam dan merusak semua nya ..usut tuntas ulah mrk .. ganti pemerintahan masuk kan mrk ke penjara,0
Paru2 dunia itu kini jd rusak,0
"Naahh inilah akibatnya klo sudah gini alam rusak, mikirnya asal uang org org tak tgung jawab, kasian satwa nya dasar manusia perusaaakkkkk",0
Up,1
Wellcome to the jungle...<br><br>Masih mau lanjutin rezim ?,1
"Dahulu penjajah kesulitan melawan indonesia karna indonesia memakai sistem perang grilya. Sekarang hutan di indonesia berkurang, bisa jadi ini suatu hal untuk memperlemah sistem perang grilya.",1
"Manusia udah banyak itulah epeknya akan terjadi pembangunan dimana mana akhir zaman ya jangan kaget ,kebutuhan manusia juga makin banyak lain dulu sekarang kendaraan makin banyak ,itu udah disediakan oleh Allah untuk manusia yg harus kita ingat apa kita bersyukur jgn mengeluh kuatkan iman dan tekunlah ibadah tuk hadapi mahluk picek yg akan menghancurkan umat manusia .",2
"Daerah2 yang memiliki SDA besar malah tidak lebih maju dari daerah yang rendah SDA, Padahal salah satu pendapatan utama Negara kita kan JUAL SDA. Salam dari Halmahera, Tanahnya dikeruk habis2an, tapi feedbacknya tidak seimbang, jalan utama saja sebagian besar rusak",0
Rezim racun Bangsa,0
Ini proyek ambisi krn pilpres 2024 sdh dekat....!!!,1
