normalized_text,label_manual
hutan bojonegoro udah habis di tebang dan di tanami tebu mantaphutan jadi rebutan banyak orang,0
jangan khawatir deforestasi kata pak presiden,1
assalamualaikum izin mengambil salah satu klip di video ini untuk mengerjakan tugas kuliah terimakasih,1
saya tetap yakin kita terlahir dari nenek moyang penjaga kelestarian alam biarpun sekarang gundul untuk keperluan penduduk pasti akan ditanam kembali sesuai kebutuhan zaman kita bangsa besar yang butuh makan dan terus menjadi kuat di tengah ancaman perampokan dari negara luarsemangat dan kuatlah indonesiaku,2
sekarang rasakan panasnya nggk seperti biasanyatinggal musim hujan akan ada banjir bandang,1
sebenarnya  hutan milik siapa  berani membabal pernah merek menanam  berani menebang,1
demi menyenangkan sahabat jokowi si haji ism jutaan orang penghuni asli kalimantan di korbankan,0
mampussuatu saat kalimantan bakalan gundul,0
kalau orang hidup di kabupaten kku berdampingan dengan hutan lindung rakyatnya banyak miskin karena ghk bisa menfaatkan tanah karena terkait hutan lindung deportasi bagus ekonomi masyarakat membaik karena menanam sawit,0
kalimantan rusak itu akibat ulah pejabat dan oligarki dari pulau jawa terutama pejabat selama orde baru hari ini kami disuruh jaga hutan sementara nasib kami tidak diurus mending tebang hutan buat bangun kebun sawit swadaya dan tambang mandiri kalian lah yang sibuk perlu hutan kami perlu akan perlu pendidikan anakanak kami toh sudah cukup kami jadi penonton hutan dibabat masyarakat adat ditinggal tanah dikeruk masyarakat adatnya diusir kalian kavling tanah kami utk transmigrasi dari pulau jawa masyarakat kami kalian abaikan terserah terhadap pemanasan global eropa jg sok peduli lingkungan padahal revolusi industri mereka membabat hutan sub tropis mereka jg yang menciptakan mesin dan alat menebang pohon menggali tanah mengolah kondensat dan memurnikan hasil tambang kalian semua kaum munafik sejahtera kan kami melalui usaha yang tidak berbasis sumber daya lahan baru kalian bicara lingkungan hidup,0
sedih banget merasa malu jadi manusia hanya bisa merusak,0
serang dari segala arahemang aku pikiran,1
suharto sudah matilagi menanggung atas dosadosanya,1
semoga yang merusak hutan kalimantan mendpat balasan yang setimpal,0
di luar negeri juga banyak yang tidak setuju rain forest di ancuturin demi ikn makanya tidak banyak infestor yang mau infest buat ikn tapimasih di paksain sama pemerintah ingat kalimantan itu amazonnya indonesia,0
tidak masalah yang penting nkri maju berkembang dan tuk anak cucu kita aman sentausa,2
 manusia serakah gak ada otak mementingkan diri sendiri tapi tidak memikirkan dampak yang terjadi gimana tidak terjadi pemanasan global hutan pada ditebang,0
akibat exploitasi lingkungan berlebih menimbulkan efek,0
hutan di tebang sda seperti minyak batu bara emas di keruk untuk kepentingan bangsa katanya tapi yang makin kaya orang luar alias korporasi dn oligarki masyarakat adat lokal jadi penonton jadi kuli di kampung sendiri malah terusir dari tanah kelahirannya mengalah demi yang berkuasa,0
sudah tau seperti ini apakah di biarkan terus ayo pemerintah sekarang hijau kembali hutanayo tanam t pohonitu yang korupsi suruh nanam pohon saja sebanyak ituuuu,1
bagaimana bisa indonesia emas terwujud jika hutan kalimantan saja sudah banyak yang rusak apalagi dgn adanya ikn apakah para pejabat sudah melakukan banyak upaya utk memperbanyak penanaman pohon jika sudah kenapa masih banyak kasus banjir disini dan kenapa masih ada saja rakyat yang membuang sampah disungai apakah ikn ini akan menyelesaikan masalah yang kami para warga kalimantan hadapi saat ini menyelesaikan masalah deforestasi dgn membuat kota modern dan bukannya melakukan reboisasi pada area lahan kosong dan pemindahan lokasi pohon ingatlah bahwa yang namanya penyesalan itu akan selalu datang di akhir mungkin mereka belum merasakan dampaknya tapi itu akan terjadi ketika apa yang selama ini rakyat alami terjadi kepada mereka,1
saya setuju keluarga jokowi dilucuti dari kekuasaan pemerintahan,0
sesama semua perlu tahu terjadinya banjir besarbesaran karena sifat buruk merusak orang manusia menutup poripori bumi daratantanah memang semua utk orang tapi harus tahu pikirkan kalau tahunya saja merusak hancur anjlok tenggelam jadinya sesama begitu,0
weleh itu ikn apa jgk bahaya,1
