textDisplay,label_manual,cleaned_text
"Hutan Bojonegoro udah habis di tebang i,,dan di tanami tebu mantap,,,hutan jadi rebutan banyak orang",0,Hutan Bojonegoro udah habis di tebang idan di tanami tebu mantaphutan jadi rebutan banyak orang
"Jangan khawatir deforestasi!!, kata pak presiden",1,Jangan khawatir deforestasi kata pak presiden
"Assalamu&#39;alaikum, izin mengambil salah satu klip di video ini untuk mengerjakan tugas kuliah. Terimakasih 🙏",1,Assalamualaikum izin mengambil salah satu klip di video ini untuk mengerjakan tugas kuliah Terimakasih
"Saya tetap yakin kita terlahir dari nenek moyang penjaga kelestarian alam. Biarpun sekarang gundul untuk keperluan penduduk, pasti akan ditanam kembali sesuai kebutuhan zaman. <br>Kita bangsa besar yg butuh makan dan terus menjadi kuat di tengah ancaman perampokan dr negara2 luar.<br>Semangat,, dan kuatlah Indonesiaku!!!!",2,Saya tetap yakin kita terlahir dari nenek moyang penjaga kelestarian alam Biarpun sekarang gundul untuk keperluan penduduk pasti akan ditanam kembali sesuai kebutuhan zaman Kita bangsa besar yg butuh makan dan terus menjadi kuat di tengah ancaman perampokan dr negara luarSemangat dan kuatlah Indonesiaku
"sekarang rasakan panasnya nggk seperti biasanya,tinggal musim hujan akan ada banjir bandang😢",1,sekarang rasakan panasnya nggk seperti biasanyatinggal musim hujan akan ada banjir bandang
Sbnr nya hutan milik siapa? Kok berani membabal? Pernah merek menanam? Kok berani menebang?,1,Sbnr nya hutan milik siapa Kok berani membabal Pernah merek menanam Kok berani menebang
"demi menyenangkan sahabat jokowi, si haji Is*m, jutaan orang penghuni asli Kalimantan di korbankan,....",0,demi menyenangkan sahabat jokowi si haji Ism jutaan orang penghuni asli Kalimantan di korbankan
Mampus.....Suatu saat kalimantan bakalan gundul,0,MampusSuatu saat kalimantan bakalan gundul
"Kalau orang hidup di kabupaten KKU berdampingan dengan hutan lindung, rakyatnya banyak miskin karena ghk bisa menfaatkan tanah karena terkait hutan lindung, deportasi bagus ekonomi masyarakat membaik karena menanam sawit,",0,Kalau orang hidup di kabupaten KKU berdampingan dengan hutan lindung rakyatnya banyak miskin karena ghk bisa menfaatkan tanah karena terkait hutan lindung deportasi bagus ekonomi masyarakat membaik karena menanam sawit
"Kalimantan rusak itu akibat ulah pejabat dan oligarki dr pulau jawa, terutama pejabat selama orde baru, hari ini kami disuruh jaga hutan, sementara nasib kami tidak diurus, mending tebang hutan buat bangun kebun sawit swadaya dan tambang mandiri. Kalian lah yg sibuk perlu hutan, kami perlu akan, perlu pendidikan anak-anak kami. Toh sudah cukup kami jadi penonton, hutan dibabat masyarakat adat ditinggal, tanah dikeruk masyarakat adatnya diusir. Kalian kavling2 tanah kami utk transmigrasi dr pulau jawa, masyarakat kami kalian abaikan. Terserah terhadap pemanasan global, eropa jg sok peduli lingkungan, padahal revolusi industri mereka membabat hutan sub tropis. Mereka jg yg menciptakan mesin dan alat menebang pohon, menggali tanah, mengolah kondensat, dan memurnikan hasil tambang. Kalian semua kaum munafik, sejahtera kan kami melalui usaha yg tidak berbasis sumber daya lahan, baru kalian bicara lingkungan hidup.",0,Kalimantan rusak itu akibat ulah pejabat dan oligarki dr pulau jawa terutama pejabat selama orde baru hari ini kami disuruh jaga hutan sementara nasib kami tidak diurus mending tebang hutan buat bangun kebun sawit swadaya dan tambang mandiri Kalian lah yg sibuk perlu hutan kami perlu akan perlu pendidikan anakanak kami Toh sudah cukup kami jadi penonton hutan dibabat masyarakat adat ditinggal tanah dikeruk masyarakat adatnya diusir Kalian kavling tanah kami utk transmigrasi dr pulau jawa masyarakat kami kalian abaikan Terserah terhadap pemanasan global eropa jg sok peduli lingkungan padahal revolusi industri mereka membabat hutan sub tropis Mereka jg yg menciptakan mesin dan alat menebang pohon menggali tanah mengolah kondensat dan memurnikan hasil tambang Kalian semua kaum munafik sejahtera kan kami melalui usaha yg tidak berbasis sumber daya lahan baru kalian bicara lingkungan hidup
